no,ranking,book_name,author_name,publisher,pub_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,cover_url,detail_url
1,1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,03810,,813.62,문학 > 한국문학 > 소설,91604,http://image.aladin.co.kr/product/4086/97/cover/8936434128_2.jpg,https://data4library.kr/bookV?seq=2037399
2,2,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,03810,,813.62,문학 > 한국문학 > 소설,71199,https://image.aladin.co.kr/product/27877/5/cover/8954682154_1.jpg,https://data4library.kr/bookV?seq=6086446
3,3,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,03810,,813.7,문학 > 한국문학 > 소설,60371,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg,https://data4library.kr/bookV?seq=5962217
4,4,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,03810,,813.62,문학 > 한국문학 > 소설,52306,https://bookthumb-phinf.pstatic.net/cover/071/902/07190270.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1938053
5,5,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168418011,77810,16,810,문학 > 한국문학 > 한국문학,48476,https://image.aladin.co.kr/product/33815/12/cover200/k832930683_1.jpg,https://data4library.kr/bookV?seq=6863020
6,6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168416369,77810,14,810,문학 > 한국문학 > 한국문학,48470,https://image.aladin.co.kr/product/32459/74/cover/k622935200_1.jpg,https://data4library.kr/bookV?seq=6759968
7,7,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168417199,77810,15,810,문학 > 한국문학 > 한국문학,48421,https://image.aladin.co.kr/product/32991/71/cover/k502936654_1.jpg,https://data4library.kr/bookV?seq=6802275
8,8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168415232,77810,13,810,문학 > 한국문학 > 한국문학,47771,https://image.aladin.co.kr/product/31527/55/cover/k812832343_1.jpg,https://data4library.kr/bookV?seq=6679569
9,9,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,03810,,813.7,문학 > 한국문학 > 소설,47492,https://image.aladin.co.kr/product/27587/94/cover/8954681158_1.jpg,https://data4library.kr/bookV?seq=6050062
10,10,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168411685,77810,10,810,문학 > 한국문학 > 한국문학,47178,https://image.aladin.co.kr/product/29286/99/cover/k082837005_1.jpg,https://data4library.kr/bookV?seq=6447451
11,11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164138197,77810,8,810,문학 > 한국문학 > 한국문학,46984,https://image.aladin.co.kr/product/27456/81/cover/k752733475_1.jpg,https://data4library.kr/bookV?seq=6041427
12,12,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168418844,77810,17,810,문학 > 한국문학 > 한국문학,46795,https://image.aladin.co.kr/product/34618/90/cover200/k522933982_1.jpg,https://data4library.kr/bookV?seq=6945239
13,13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168412477,77810,11,810,문학 > 한국문학 > 한국문학,46765,https://image.aladin.co.kr/product/29832/74/cover/k652838723_1.jpg,https://data4library.kr/bookV?seq=6525944
14,14,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,03810,,813.62,문학 > 한국문학 > 소설,46705,https://image.aladin.co.kr/product/29137/2/cover/8936434594_1.jpg,https://data4library.kr/bookV?seq=6428779
