순번,순위,도서명,저자,출판사,발행년도,ISBN13,대출건수,주제분류명
1,1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,31502,문학 > 한국문학 > 소설
2,2,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,26670,문학 > 한국문학 > 소설
3,3,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,19625,문학 > 한국문학 > 소설
4,4,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,17244,문학 > 한국문학 > 소설
5,5,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,16216,문학 > 한국문학 > 소설
6,6,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,9791130646381,14671,문학 > 영미문학 > 소설
7,7,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168416369,14535,문학 > 한국문학 > 한국문학
8,8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168417199,14291,문학 > 한국문학 > 한국문학
9,9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168415232,14285,문학 > 한국문학 > 한국문학
10,10,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,9791141601300,14276,문학 > 한국문학 > 소설
11,11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168411685,14268,문학 > 한국문학 > 한국문학
12,12,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,14261,문학 > 한국문학 > 소설
13,13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164138197,14250,문학 > 한국문학 > 한국문학
14,13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168412477,14250,문학 > 한국문학 > 한국문학
15,15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164134267,14219,문학 > 한국문학 > 한국문학
16,16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168418011,14160,문학 > 한국문학 > 한국문학
17,17,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164135592,14127,문학 > 한국문학 > 한국문학
18,18,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168414471,14065,문학 > 한국문학 > 한국문학
19,19,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164134847,13887,문학 > 한국문학 > 한국문학
20,20,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164139897,13841,문학 > 한국문학 > 한국문학
21,21,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,13796,문학 > 한국문학 > 소설
22,22,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164137527,13709,문학 > 한국문학 > 한국문학
23,23,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164131686,13606,문학 > 한국문학 > 한국문학
24,24,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164136261,13592,문학 > 한국문학 > 한국문학
25,25,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164132454,13439,문학 > 한국문학 > 한국문학
26,26,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,13418,문학 > 한국문학 > 소설
27,27,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,13282,문학 > 한국문학 > 소설
28,28,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168418844,13263,문학 > 한국문학 > 한국문학
29,29,흰 :한강 소설 ,지은이: 한강,문학동네,2018,9788954651134,12561,문학 > 한국문학 > 소설
30,30,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936447694,12296,문학 > 한국문학 > 소설
31,31,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791168415409,12097,자연과학 > 자연과학 > 자연과학
32,32,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,9788936439651,12076,문학 > 한국문학 > 소설
33,33,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791164137121,12060,자연과학 > 자연과학 > 자연과학
34,34,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ,강용수 지음,유노콘텐츠그룹,2023,9791192300818,11960,"철학 > 서양철학 > 독일, 오스트리아철학"
35,35,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791168414488,11784,자연과학 > 자연과학 > 자연과학
36,36,"바람이 분다, 가라 :한강 장편소설 ",한강,문학과지성사,2010,9788932020006,11681,문학 > 한국문학 > 소설
