기준월,시도,승합차,승용차,특수차
202109,강원,55476,1261250,8118
202109,경기,397394,10226232,48366
202109,경남,103524,2937008,18528
202109,경북,93610,2236330,17782
202109,광주,37992,1166620,6472
202109,대구,58406,2041336,8286
202109,대전,38724,1164682,6234
202109,부산,80664,2433398,22780
202109,서울,203440,5473336,19392
202109,세종,8520,320468,1286
202109,울산,28134,982170,6350
202109,인천,92478,2842340,16320
202109,전남,77446,1727078,16244
202109,전북,63324,1465626,9212
202109,제주,36778,1092792,3296
202109,충남,80490,1797054,12270
202109,충북,57672,1390254,10150
202110,강원,55338,1264988,8248
202110,경기,395892,10251402,48878
202110,경남,103206,2943178,18622
202110,경북,93374,2239770,17926
202110,광주,37876,1168234,6556
202110,대구,58002,2041940,8364
202110,대전,38432,1166078,6298
202110,부산,80416,2438592,22824
202110,서울,202628,5473092,19450
202110,세종,8654,322534,1332
202110,울산,28080,983178,6414
202110,인천,91832,2841964,16430
202110,전남,77314,1734338,16332
202110,전북,63180,1467432,9284
202110,제주,36696,1098186,3328
202110,충남,80280,1801368,12486
202110,충북,57436,1392706,10220
202111,강원,55110,1268398,8354
202111,경기,394584,10281466,49358
202111,경남,102864,2950264,18744
202111,경북,93226,2244550,18074
202111,광주,37768,1170354,6610
202111,대구,57868,2042844,8414
202111,대전,38240,1168140,6376
202111,부산,80144,2445612,22834
202111,서울,201770,5479958,19592
202111,세종,8646,324056,1356
202111,울산,28034,985038,6482
202111,인천,91304,2847568,16474
202111,전남,77352,1741058,16424
202111,전북,63080,1470030,9430
202111,제주,36708,1105102,3448
202111,충남,80194,1805954,12658
202111,충북,57232,1395612,10304
202112,강원,54938,1270796,8480
202112,경기,393820,10312594,49810
202112,경남,102558,2956810,18850
202112,경북,93094,2247252,18204
202112,광주,37688,1172592,6630
202112,대구,57656,2044562,8536
202112,대전,38262,1169346,6428
202112,부산,79908,2453966,22938
202112,서울,200806,5480088,19742
202112,세종,8664,326700,1388
202112,울산,27966,986234,6536
202112,인천,90584,2854562,16612
202112,전남,77226,1756704,16560
202112,전북,62994,1470722,9550
202112,제주,36588,1110754,3470
202112,충남,80072,1809654,12860
202112,충북,57112,1397960,10426
202201,강원,54866,1274716,8554
202201,경기,393238,10343634,50334
202201,경남,102490,2964828,19096
202201,경북,93034,2252212,18430
202201,광주,37682,1175578,6696
202201,대구,57492,2047886,8648
202201,대전,38118,1171384,6466
202201,부산,79742,2461168,23084
202201,서울,199718,5483694,19958
202201,세종,8682,329642,1396
202201,울산,27884,988072,6586
202201,인천,90018,2863624,16706
202201,전남,76760,1761376,16656
202201,전북,62844,1473544,9640
202201,제주,36486,1116908,3494
202201,충남,79944,1814718,12874
202201,충북,56956,1401040,10578
202202,강원,54642,1277308,8672
202202,경기,392232,10361882,50884
202202,경남,102084,2970560,19256
202202,경북,92946,2255504,18592
202202,광주,37608,1176432,6772
202202,대구,57260,2049472,8748
202202,대전,37990,1172708,6514
202202,부산,79548,2468580,23184
202202,서울,199084,5487240,20068
202202,세종,8724,331596,1432
202202,울산,27818,989190,6604
202202,인천,89648,2870330,16782
202202,전남,76572,1767276,16712
202202,전북,62702,1475398,9734
202202,제주,36402,1121554,3512
202202,충남,79752,1818938,12918
202202,충북,57004,1404004,10646
202203,강원,54632,1280828,8764
202203,경기,390864,10392418,51556
202203,경남,101450,2980060,19404
202203,경북,92674,2260412,18802
202203,광주,37416,1179510,6882
202203,대구,57068,2052842,8786
202203,대전,37762,1175476,6588
202203,부산,78818,2475498,23270
202203,서울,198162,5490538,20242
202203,세종,8698,333002,1448
