화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
13344,16,202608,15547,234927,3584,563,11141,192,148,강남구,421,13854,249202,서울,58,2011,4196,155,217600,228896,399,554
11749,8,202608,14459,160241,2890,485,4933,150,196,강동구,308,8287,168836,서울,41,2560,3529,109,145321,150363,281,598
6382,17,202608,7733,67489,1815,264,2122,130,109,강북구,329,4165,71983,서울,65,1221,2593,117,59154,61393,138,713
15227,18,202608,19730,184922,3634,757,10948,157,258,강서구,353,16942,202217,서울,43,4346,5067,135,165580,176663,481,1390
8419,12,202608,10752,109169,2488,382,3152,142,168,관악구,288,5872,115329,서울,45,2191,2894,89,98060,101301,202,361
8806,9,202608,10402,90519,1759,239,2945,161,91,광진구,297,4804,95620,서울,42,1435,2134,85,79815,82845,139,333
13044,5,202608,15834,130008,3263,470,5457,127,158,구로구,304,8788,139100,서울,62,2663,3835,110,113394,118961,307,510
10120,13,202608,12335,83602,2157,299,2857,75,85,금천구,177,5516,89295,서울,32,2140,2623,57,71124,74038,201,434
9213,11,202608,11423,139793,2742,541,5597,167,237,노원구,306,8587,148686,서울,50,2043,3502,78,127545,133220,293,710
7648,12,202608,9827,85122,1946,372,4565,125,149,도봉구,276,7378,92776,서울,48,2054,2604,91,75317,79973,211,610
9303,14,202608,11657,101865,2157,319,2769,135,90,동대문구,319,5240,107424,서울,62,2219,2381,108,90190,93067,215,162
6071,16,202608,7280,101882,1889,355,1260,134,175,동작구,317,2641,104840,서울,43,1075,2063,124,93758,95142,164,131
9020,21,202608,11841,112338,2142,824,3887,173,509,마포구,343,7590,120271,서울,54,2648,2742,95,100882,104864,294,546
5431,10,202608,7307,84420,1725,270,3459,136,110,서대문구,488,5706,90614,서울,103,1740,2225,239,77114,80812,150,397
10143,14,202608,14405,170430,2704,484,3014,180,180,서초구,502,7916,178848,서울,139,4082,3483,169,157293,160476,290,640
7929,17,202608,10023,93275,1562,376,8031,177,147,성동구,376,11047,104698,서울,49,1917,2563,133,83572,91736,212,952
8016,10,202608,9805,116664,2366,327,2006,143,101,성북구,297,4823,121784,서울,46,1646,3482,98,106066,108170,216,1070
15724,19,202608,20852,227711,3531,810,8019,157,361,송파구,404,14883,242998,서울,100,4971,5163,128,208026,216173,430,1532
10292,7,202608,13156,138194,2618,696,4848,143,413,양천구,342,8720,147256,서울,65,2721,3421,127,125008,129983,276,738
12289,17,202608,16752,133444,3097,1155,2771,178,680,영등포구,381,7938,141763,서울,58,4285,3357,128,117600,120499,458,202
4389,9,202608,5587,68732,1497,186,1039,122,31,용산구,341,2218,71291,서울,55,1076,1624,155,62700,63894,146,72
9366,16,202608,11512,124860,2486,402,4166,141,171,은평구,290,7091,132241,서울,44,2005,3279,89,112793,117048,215,749
3527,103,202608,5601,43448,1247,296,323,352,92,종로구,3892,2388,49728,서울,1505,1722,3003,1932,38573,40828,101,251
4357,27,202608,5645,44432,1560,285,1191,179,88,중구,1310,2691,48433,서울,809,1109,2672,295,38345,39831,170,303
10958,13,202608,13775,104964,2524,593,6010,124,327,중랑구,248,9607,114819,서울,32,2693,3133,79,91229,97318,253,577
230767,434,202608,293240,2952451,59383,11750,106510,3900,5074,계,12909,184692,3150052,서울,3650,58573,77568,4925,2656059,2767494,6242,14535
6606,12,202608,7466,19953,438,141,145,107,39,강진군,269,1023,21245,전남광주,62,753,586,88,12819,13052,90,86
12877,12,202608,13278,35932,963,194,160,141,38,고흥군,342,544,36818,전남광주,77,260,1126,112,21948,22220,144,86
5245,6,202608,5732,17552,394,140,111,75,70,곡성군,188,647,18387,전남광주,38,412,486,69,11849,12029,64,54
26073,30,202608,34272,205728,3789,1782,4218,196,945,광산구,622,13616,219966,전남광주,144,8003,4383,252,175059,179529,807,450
14779,15,202608,18381,98505,1967,2291,644,88,1724,광양시,264,6174,104943,전남광주,69,3514,2328,92,81207,81943,552,292
3968,5,202608,4217,14427,364,98,157,78,15,구례군,185,397,15009,전남광주,40,171,458,62,10017,10236,78,54
