"car_id";"sido_cd";"sido_nm";"브랜드";"차량명";"차종";"연료형태";"출고가";"km당 연료비";"연비점수";"인프라 점수";"실구매가 점수";"인프라 상황";"지원받은 보조금"
112;"20";"전남광주";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;21.79;95.0;"충전기당 전기차 수 : 1.65";"2300"
112;"05";"충남";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;44.32;94.98;"충전기당 전기차 수 : 1.48";"2200"
112;"04";"충북";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;38.69;94.98;"충전기당 전기차 수 : 1.52";"2200"
112;"08";"경북";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;33.06;94.94;"충전기당 전기차 수 : 1.58";"2100"
112;"09";"경남";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;27.43;94.94;"충전기당 전기차 수 : 1.64";"2100"
112;"03";"강원";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;72.48;94.9;"충전기당 전기차 수 : 1.22";"2040"
112;"17";"대전";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;55.58;94.88;"충전기당 전기차 수 : 1.45";"1900"
112;"06";"전북";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;49.95;94.86;"충전기당 전기차 수 : 1.46";"1800"
112;"18";"울산";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;89.37;94.84;"충전기당 전기차 수 : 0.96";"1700"
112;"02";"경기";"현대";"캐스퍼 일렉트릭";"소형";"전기(배터리)";2787;64.22;94.35;83.74;94.84;"충전기당 전기차 수 : 1.01";"1700"
56;"11";"제주";"기아";"모닝";"경차";"가솔린";1386;126.75;67.88;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"19";"세종";"기아";"모닝";"경차";"가솔린";1386;124.52;68.97;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"18";"울산";"기아";"모닝";"경차";"가솔린";1386;123.32;69.62;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"02";"경기";"기아";"모닝";"경차";"가솔린";1386;124.5;68.99;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"01";"서울";"기아";"모닝";"경차";"가솔린";1386;127.81;67.5;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"03";"강원";"기아";"모닝";"경차";"가솔린";1386;125.49;68.43;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"14";"대구";"기아";"모닝";"경차";"가솔린";1386;122.85;69.94;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"10";"부산";"기아";"모닝";"경차";"가솔린";1386;123.6;69.36;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"17";"대전";"기아";"모닝";"경차";"가솔린";1386;123.26;69.64;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"06";"전북";"기아";"모닝";"경차";"가솔린";1386;124.81;68.91;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"05";"충남";"기아";"모닝";"경차";"가솔린";1386;125.13;68.71;100.0;94.8;"해당사항 없음";"해당사항 없음"
56;"04";"충북";"기아";"모닝";"경차";"가솔린";1386;125.21;68.61;100.0;94.8;"해당사항 없음";"해당사항 없음"
