순번,카테고리,질문,답변
1,가입 / 탈퇴,신차 구매 고객이 Vantage에 가입해야 하는 이유는 무엇인가요?,"Vantage 앱 내 차량 등록 시, 등록하신 차량에 따라 MINI 밴티지 멤버십 등급이 부여되며, 그에 따른 다채로운 혜택을 받으실 수 있습니다."
2,가입 / 탈퇴,Vantage 외 다른 계정으로 로그인 할 수 있나요?,"MINI 및 BMW 홈페이지, MINI 앱 및 My BMW, MINI 및 BMW 샵 온라인의 동일한 계정으로 로그인 가능합니다."
3,가입 / 탈퇴,MINI/BMW 차량을 소유하지 않아도 가입이 가능한가요?,"MINI/BMW 차량을 소유하지 않아도 가입이 가능합니다. 단, 등급별 혜택 이용에 제한적일 수 있습니다."
4,가입 / 탈퇴,법인이나 단체도 가입이 가능한가요?,개인 계정으로만 가입이 가능합니다.
5,가입 / 탈퇴,외국인도 Vantage 회원가입이 가능한가요?,"가능합니다. 단, 국내 거주가 인증된 (외국인 등록번호가 유효한) 외국인에 한해, 본인 명의 휴대전화로 인증 후 Vantage 이용 약관 동의 및 개인 정보 입력 완료 시 가입하실 수 있습니다."
6,가입 / 탈퇴,미성년자도 회원 가입이 가능한가요?,"만 14세 미만의 경우, 회원 가입이 불가하며, 미성년자는 일부 서비스 이용이 제한될 수 있습니다."
7,가입 / 탈퇴,차량 명의자와 사용자가 다른 경우에도 가입이 가능한가요?,"Vantage는 차량 소지와 상관없이 누구나 가입이 가능합니다. 단, 차량 구매 내역이 반영된 Vantage 등급 및 혜택은 MINI 신차 구매 최초 출고 시 등록했던 휴대전화 번호와, Vantage 본인 인증 정보가 일치할 경우에 한해 제공됩니다. 휴대전화 번호 불일치 등으로 차량 등록이 불가할 경우, 차량관리 > 구매 이력 > 내 구매 차량 등록하기 > 차대 번호 입력 > 서류 제출하여 등록하기 버튼을 통해 증빙 서류를 제출하시면 절차에 따라 등록을 해드릴 수 있습니다."
8,가입 / 탈퇴,아이디/비밀번호가 기억이 나지 않습니다.,"아이디 분실 시, 로그인 화면 하단에 '아이디 찾기'를 통해 본인인증 후 확인 가능합니다. 비밀번호는 '비밀번호 찾기' 내 입력한 아이디로 메일 발송 후 안내 받으실 수 있습니다."
9,가입 / 탈퇴,비밀번호를 변경하고 싶어요.,비밀번호는 홈 화면에서 '마이페이지' 버튼을 클릭 후 '비밀번호 변경'을 통해 수정하실 수 있습니다.
10,가입 / 탈퇴,본인 인증 시 비밀번호 재설정 화면에서 더 이상 진행되지 않습니다.,"비밀번호를 설정하였음에도 다음 화면으로 진행되지 않을 시, 다른 계정에 동일한 휴대전화 번호로 본인 인증이 되어 있을 수 있습니다. 계정 확인이 불가한 경우, mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다."
