시도코드,시도명,제품코드,평균가격,DIFF
00,전국,B027,1858.37,1858.37
00,전국,B034,2325.71,2325.71
00,전국,C004,1574.51,1574.51
00,전국,D047,1843.83,1843.83
00,전국,K015,1098.07,1098.07
01,서울,B027,1904.31,-0.23
01,서울,B034,2398.63,1.94
01,서울,C004,1677.08,0.0
01,서울,D047,1886.46,-0.2
01,서울,K015,1156.13,0.0
02,경기,B027,1854.99,-0.09
02,경기,B034,2323.06,1.46
02,경기,C004,1590.14,-0.59
02,경기,D047,1838.24,-0.06
02,경기,K015,1098.01,-0.33
03,강원,B027,1869.85,0.01
03,강원,B034,2318.31,6.17
03,강원,C004,1556.74,-0.5
03,강원,D047,1860.19,0.28
03,강원,K015,1129.28,0.59
04,충북,B027,1865.62,-0.13
04,충북,B034,2318.78,2.93
04,충북,C004,1563.41,-0.67
04,충북,D047,1851.25,-0.3
04,충북,K015,1090.52,0.0
05,충남,B027,1864.5,-0.18
05,충남,B034,2319.88,-0.32
05,충남,C004,1563.95,-0.29
05,충남,D047,1850.65,-0.18
05,충남,K015,1105.12,0.2
06,전북,B027,1859.7,0.23
06,전북,B034,2321.75,0.21
06,전북,C004,1554.61,-1.12
06,전북,D047,1846.89,0.01
06,전북,K015,1061.48,0.0
08,경북,B027,1852.72,0.0
08,경북,B034,2288.11,1.78
08,경북,C004,1566.22,-0.32
08,경북,D047,1838.7,-0.12
08,경북,K015,1086.53,-0.18
09,경남,B027,1852.94,-0.4
09,경남,B034,2325.34,2.26
09,경남,C004,1585.76,0.72
09,경남,D047,1837.07,-0.74
09,경남,K015,1079.62,0.0
10,부산,B027,1841.61,-0.55
10,부산,B034,2316.16,0.25
10,부산,C004,1626.37,2.82
10,부산,D047,1824.44,-0.79
10,부산,K015,1086.77,0.0
11,제주,B027,1888.6,0.01
11,제주,B034,2361.0,0.0
11,제주,C004,1562.15,-3.12
11,제주,D047,1869.9,0.11
11,제주,K015,1134.81,0.0
14,대구,B027,1830.51,0.11
14,대구,B034,2315.63,2.76
14,대구,C004,1592.52,-2.06
14,대구,D047,1815.35,0.22
14,대구,K015,1117.09,0.0
15,인천,B027,1845.67,0.17
15,인천,B034,2296.86,0.88
15,인천,C004,1589.01,0.0
15,인천,D047,1829.41,-0.19
15,인천,K015,1094.77,-0.19
17,대전,B027,1836.55,-0.09
17,대전,B034,2300.33,0.96
17,대전,C004,1581.23,-3.86
17,대전,D047,1824.9,0.12
17,대전,K015,1069.27,0.36
18,울산,B027,1837.54,-0.1
18,울산,B034,2296.02,1.04
18,울산,C004,1598.11,0.0
18,울산,D047,1826.45,-0.33
18,울산,K015,1107.52,1.29
19,세종,B027,1855.41,0.0
19,세종,B034,2310.57,0.0
19,세종,C004,1538.52,2.37
19,세종,D047,1841.47,0.0
19,세종,K015,1100.86,0.0
20,전남광주,B027,1862.28,-0.02
20,전남광주,B034,2311.5,0.32
20,전남광주,C004,1562.82,0.21
20,전남광주,D047,1850.46,-1.01
20,전남광주,K015,1108.37,0.22
