순번,카테고리,질문,답변
1,구매 & 리스,BMW에 대한 BMW 커넥티드 드라이브 서비스를 구매하거나 연장하는 방법은 무엇입니까?,BMW 커넥티드 드라이브 스토어에서 고객님의 BMW에 대한 BMW 디지털 서비스를 구매할 수 있습니다. 이를 위해서는 BMW ID가 필요하며 고객님의 BMW가 BMW ID에 연결되어 있어야 합니다. 서비스 또는 패키지의 구매를 완료하려면 My BMW 포털에서 개인 데이터 및 결제 수단을 저장해야 합니다.
2,디지털 & 커넥티드 서비스,BMW 커넥티드 드라이브 서비스는 언제 연장할 수 있나요?,고객님의 BMW에 이용 중인 BMW 커넥티드 드라이브 서비스는 제공 기간이 만료되면 BMW 커넥티드 드라이브 스토어에서 연장할 수 있습니다. 만료 전 고객님의 BMW ID에 연결된 이메일로 안내가 전송됩니다.
3,디지털 & 커넥티드 서비스,수입한 내 BMW 자동차에서 BMW ConnectedDrive 서비스를 이용할 수 없는 이유는 무엇입니까?,"BMW ConnectedDrive를 제공하지 않거나 수입국과 다른 이동통신 기술이 사용되는 국가에서 BMW 자동차를 수출하면, 경우에 따라 ConnectedDrive 사용이 제한됩니다."
4,구매 & 리스,BMW 커넥티드 드라이브 스토어에서 취소한 구매 건에 대한 신용 전표는 어떤 결제 수단으로 처리됩니까?,BMW 커넥티드 드라이브 스토어에서 [ www.bmw.co.kr/ko/shop/ls/cp/connected-drive ] BMW 커넥티드 드라이브 서비스를 취소하면 해당 구매 건에 사용했던 결제 수단으로 청구 금액에 대한 신용 전표를 받습니다.
5,디지털 & 커넥티드 서비스,BMW 커넥티드 드라이브 서비스의 기간이 만료되기 전에 안내를 받을 수 있습니까?,"BMW 오퍼레이팅 시스템 7 이상을 탑재한 BMW에서 BMW 커넥티드 드라이브 서비스를 예약하려면 다음 순서로 선택하십시오. ""앱"" > ""BMW 스토어"". BMW ID로 로그인되어 있어야 하며 My BMW 포털에 개인정보 및 결제 수단을 입력해야 합니다."
6,디지털 & 커넥티드 서비스,My BMW 앱을 이용하여 내 BMW를 어떻게 냉/난방합니까?,"출고 국가, 모델 및 사양에 따라 My BMW 앱의 원격제어 서비스를 사용하여 즉시 또는 출발 시간에 맞춰 BMW를 환기하거나 BMW의 냉/난방을 설정할 수 있습니다. BMW의 냉/난방을 즉시 설정하려면 ""자동차"" 탭에서 팬 아이콘을 누른 다음 ""시작""을 누르십시오. 출발 시간에 맞춰 환기 또는 냉/난방을 시작하려면"
7,서비스 & 보증,BMW 텔레서비스는 어떻게 작동합니까?,BMW 텔레서비스는 센서를 이용하여 BMW 자동차의 서비스 요구사항을 감지하고 필요시 선호하는 BMW 서비스 센터에 자동으로 이에 대해 알립니다. 서비스 센터에서 자동차 관련 정보를 확인하고 사용자와 서비스 날짜를 조율합니다.
8,디지털 & 커넥티드 서비스,자동차 외부에서도 My BMW 앱을 이용해 주차보조 조작을 실행할 수 있습니까?,"BMW와 스마트폰의 모델 및 사양에 따라 My BMW 앱을 통해 BMW를 주차할 수 있습니다. 귀하의 BMW는 2022년 11월 버전 이상의 Operating System 8과 ""파킹 어시스턴트 프로페셔널""(SA 5DW) 선택사양이 필요합니다. 차량에 원격제어 서비스가 예약 및 활성화되어 있어야 하며, BMW Dig"
9,디지털 & 커넥티드 서비스,My BMW 앱 또는 My BMW 포탈에 내 BMW의 서비스 이력이 표시됩니까?,아니오. BMW 차량의 서비스 이력은 BMW iDrive 운영 체제에서만 볼 수 있습니다. BMW 서비스 센터는 서비스 후 BMW 차량에 서비스 이력을 저장해야 한다는 점에 유의하십시오.
10,서비스 & 보증,BMW 텔레서비스는 나에게 무엇을 제공합니까?,BMW 텔레서비스는 요청 시 고객님의 차량 정비를 담당 서비스 센터와 조율합니다. 이를 위해 차량의 센서는 서비스 요구 사항을 적시에 감지하여 서비스 관련 데이터를 담당 서비스 센터에 자동으로 전송합니다. 이어서 담당 서비스 센터에서 적절한 일정을 잡기 위해 고객님에게 연락하고 전송된 정보를 바탕으로 정비소 방문을
11,서비스 & 보증,내 BMW에서 BMW 텔레서비스를 사용하려면 어떤 기술 요구 사항이 필요합니까?,BMW 텔레서비스를 사용하려면 최신 자동차의 경우 BMW 텔레서비스(SA 6AE) 선택사양이 필요하며 구형 자동차의 경우 텔레서비스(SA 6AA / SA 6AB) 선택사양이 필요합니다.
12,디지털 & 커넥티드 서비스,오퍼레이팅 시스템 9을 탑재한 내 BMW에서 BMW 커넥티드 드라이브 서비스를 어떻게 업데이트합니까?,사양에 따라 고객님의 차량에서 BMW 커넥티드 드라이브 서비스를 이용할 수 있습니다. 이때 고객님의 BMW는 장착된 SIM-카드를 통해 BMW 클라우드에서 데이터를 수신합니다. BMW 커넥티드 드라이브 서비스 사용 시 장애가 발생한 경우 또는 커넥티드 드라이브의 BMW 고객 서비스 안내에 따라 오퍼레이팅 시스템 9를...
13,서비스 & 보증,BMW 웹사이트에서 예약한 서비스 스케줄은 어떻게 취소할 수 있습니까?,BMW 웹사이트에서 고객님의 BMW ID로 예약하거나 My BMW 앱의 BMW 서비스 센터에서 예약한 차량 서비스 스케줄은 BMW 웹사이트에서 변경하거나 취소할 수 있습니다. BMW 웹사이트의 머리글에 있는 프로필 아이콘을 클릭하고 BMW ID로 로그인하십시오. 로그인에 성공했다면 프로필 아이콘을 다시 클릭한 후
