순번,카테고리,질문,답변
1,서비스,서비스센터의 위치를 알고 싶습니다.,"혼다코리아는 고객님들의 편의를 위해서 전국에 서비스센터를 운영하고 있습니다. 자세한 위치는 홈페이지 상단 메뉴의 '서비스 → 서비스 네트워크'에서 확인이 가능합니다.
바로가기: HONDA (hondakorea.co.kr)"
2,서비스,서비스센터에 정비 예약을 하고 싶습니다.,"차량관리 App 'My Honda'를 통해서 쉽게 정비 예약이 가능합니다. My Honda App은 Google play store, App Store에서 다운로드가 가능합니다. 또한, 각 서비스센터에 유선연락을 통해서 예약을 하셔도 됩니다.
My Honda App 설명 및 다운르도: HONDA (hondakorea.co.kr)"
3,부품,부품 주문은 어떻게 하나요?,"혼다코리아는 협력점을 포함하여 지정된 공식 딜러점을 통해서만 부품을 공급하고 있습니다.
가장 가까운 서비스 센터에서 부품 구매 관련 상담을 받으시기 바랍니다."
4,App,'My Honda App'은 무엇인가요?,"혼다 차량을 구매하신 고객님들 위해서 차량 관리 및 정비 예약을 편리하게 할 수 있도록 서비스를 제공하는 App입니다. App을 통해서 차량을 등록하시면 정비 예약, 소모품 관리 주기 확인, 리콜 관리 안내 등 차량 관리에 꼭 필요한 기능을 이용할 수 있습니다."
5,App,'My Honda App'을 통해서 정비 예약을 했습니다. 급한 사정으로 예약 날짜 변경 혹은 취소를 하고 싶은데 가능한가요?,"'My Honda App'에서 정비 예약 날짜 변경 및 취소가 가능합니다. 단, 48시간 이내의 예약을 취소하고 싶다면 서비스센터에 직접 문의하셔야 합니다."
6,App,'My Honda App'에서 '교체 필요한 항목이 있습니다.' 라는 메시지가 뜹니다. 어떻게 해야 하나요?,"공식적으로 권장하는 제품 교체 주기에 따라서 '교체 필요', '교체 검토', '양호' 라는 3가지 상태로 구분이 됩니다.
자세한 내용은 서비스센터를 통해서 안내를 받으시기 바랍니다."
7,App,차량 명의가 배우자로 되어 있어서 제 휴대폰의 정보와 일치하지 않습니다. 차량 등록을 어떻게 해야 하나요?,차량 등록 시 하단에 차량등록증을 업로드 하시면 고객센터에서 확인 후 승인 처리를 도와드리고 있습니다.
8,리콜,리콜 통지문을 받았습니다. 어떻게 해야하나요?,"리콜은 고객님의 안전을 지키기 위한 중요한 조치이므로 가능한 빠르게 진행주시길 권장해드리고 있습니다.
리콜 대상 여부 확인 후 인근 서비스센터로 유선 예약, 방문하여 진행해주시기 바랍니다.
또는 My Honda App을 통해서 원하는 일자와 서비스센터, 리콜 진행을 선택하여 예약 신청이 가능합니다."
9,리콜,리콜에 소요되는 시간은 얼마나 드나요?,리콜 종류에 따라서 소요되는 시간은 모두 다릅니다. 서비스센터를 통해서 소요 시간을 확인 부탁드립니다.
10,구매,인도금 카드 결제는 삼성카드만 가능한가요?,"네, 그렇습니다.
고객님께 보다 더 많은 혜택을 제공해 드리고자 혼다코리아는 삼성카드와의 전략적 제휴를 맺게 되었습니다.
계약금은 어떤 카드를 사용하셔도 상관없지만, 인도금을 카드로 지불 할 때에는 삼성카드로만 결제가 가능합니다."
