순번,카테고리,질문,답변
1,서비스 가입 및 요금,"미디어 패키지나 리모트 패키지, 내비게이션 패키지만 단독으로 가입할 수 있나요?","아니요, 세이프티 베이직 패키지를 필수로 가입해야만 다른 패키지에 가입할 수 있습니다."
2,서비스 가입 및 요금,서비스를 가입하지 않고 차량을 와이파이만 연결해도 기능을 쓸 수 있나요?,"세이프티 베이직(필수 패키지) 미가입 시 와이파이를 연결하더라도 인포테인먼트 기능 및 원격 제어 기능을 사용할 수 없습니다. 미가입 시에는 U+Drive Home의 기본 메뉴만 표출되며, 내비게이션은 실시간 교통 정보 및 지도 데이터가 제공되지 않습니다."
3,서비스 가입 및 요금,차량 출고 후 나중에 가입해도 무상 기간은 동일하게 적용되나요?,"차량 등록일로부터 1개월 이내에 가입하지 않을 경우, 무상 제공 기간이 자동으로 차감되기 시작하므로 가급적 빠른 시점에 가입하는 것을 권장합니다."
4,서비스 가입 및 요금,무상 기간 도중 해지하면 남은 무료 기간은 사라지나요?,"무상 제공 혜택은 차량에 귀속되어, 중도 해지 시에도 유지됩니다. 단, 해지되어 있는 기간 동안에도 무상 제공 기간은 지속적으로 차감됩니다."
5,서비스 가입 및 요금,무상 기간이 종료되면 자동으로 유료 결제로 전환되나요?,"아니요, 자동 결제되지 않습니다. 무료 기간 종료 이후 직접 ‘토요타 커넥트’ 앱에서 결제 정보를 입력해야만 유료 가입 및 서비스 이용이 가능합니다."
6,회원 및 계정 관리,법인이나 개인사업자도 앱으로 가입할 수 있나요?,"네, ‘토요타 커넥트’ 앱을 통해 법인 및 개인 사업자도 가입이 가능합니다. 단, 가입 유형에 따라 사업자등록증, 재직증명서 등의 증빙 서류를 앱에서 첨부해야 합니다. (주민등록번호는 반드시 가려서 첨부해야 합니다.)"
7,회원 및 계정 관리,법인 차량 가입 신청 시 승인까지 얼마나 걸리나요?,
8,회원 및 계정 관리,딜러를 통하지 않고 고객이 직접 앱으로 가입할 수 있나요?,"네, 차량 등록 후 ‘토요타 커넥트’ 앱을 다운로드하여 회원가입, 차량 등록, 서비스 가입 절차를 직접 진행하실 수 있습니다."
9,회원 및 계정 관리,중고차를 샀는데 이전 사용자가 서비스를 해지하지 않았습니다. 어떻게 해야 하나요?,"콜센터(080-525-8255, 내선 4번)로 연락해 주시면, 이전 가입자에게 연락하여 해지를 요청합니다. 만약 연락이 닿지 않을 경우, 절차에 따라 직권 해지를 진행해 드립니다."
10,회원 및 계정 관리,휴대폰 번호 변경 후 정보 수정 방법이 궁금해요.,아래 경로를 통해 정보 수정이 가능합니다. [‘토요타 커넥트’ 접속 > 우측 상단 ? > 이름 선택 > 회원가입 정보 > 비밀번호 입력 > 변경]
11,원격 제어,스마트폰으로 차량의 어떤 기능을 제어할 수 있나요?,"‘토요타 리모트’ 앱을 통해 원격 시동, 공조 (에어컨/히터), 도어 잠금 및 해제, 비상등 점멸 등을 제어할 수 있습니다."
12,원격 제어,원격 제어 기능에 거리 제한이 있나요?,"스마트폰과 차량이 통신 가능한 환경이라면 언제 어디서든 제어할 수 있습니다. 단, 음영 지역, 차량 통신 장애 등으로 인해 제한될 수 있습니다."
13,원격 제어,원격으로 시동을 켜면 얼마나 유지되나요?,
14,원격 제어,원격 시동을 켠 상태에서 스마트키 없이 바로 주행할 수 있나요?,"아니요, 차량 내에 스마트키가 인식되지 않으면 주행이 불가능합니다."
15,원격 제어,차 안에 차 키를 두고 내렸을 때도 원격 제어를 사용할 수 있나요?,보안과 안전을 위해 차량 내부에 키가 감지되는 상황에서는 원격 제어 기능이 작동하지 않습니다.
16,원격 제어,리모트 기능이 실패했을 때 이유를 알 수 있나요?,"네, 에러 코드를 포함한 상세 실패 사유를 스마트폰 알림으로 발송해 드립니다."
