시도,민간공고대수,접수대수,출고대수,출고잔여대수,최대보조금(만원)_승용,최대보조금(만원)_초소형,최대보조금(만원)_화물
강원,617,601.0,553,64,2040.0,1090.0,0.0
경기,3090,2920.0,2732,358,1700.0,700.0,1600.0
경남,946,931.0,893,53,2100.0,750.0,1800.0
경북,870,835.0,701,169,2100.0,750.0,1700.0
대구,4206,4733.0,4432,-226,1800.0,850.0,1750.0
대전,985,985.0,835,150,1900.0,750.0,1800.0
부산,561,561.0,561,0,1700.0,656.0,2500.0
서울,3944,3944.0,3944,0,1700.0,750.0,1650.0
세종,248,262.0,262,-14,1900.0,800.0,1800.0
울산,471,464.0,375,96,1700.0,700.0,1600.0
인천,578,721.0,578,0,1800.0,650.0,0.0
전국,519,295.0,176,343,2000.0,770.0,2000.0
전남광주,1110,1179.0,941,169,2300.0,890.0,1760.0
전북,525,378.0,345,180,1800.0,700.0,0.0
제주,4702,6701.0,5727,-1025,1800.0,700.0,1800.0
충남,592,538.0,474,118,2200.0,850.0,2000.0
충북,861,927.0,762,99,2200.0,950.0,0.0
