brand,car_name,car_category,fuel_type,price_str,price_num,avg_efficiency
테슬라,Model Y,승용,전기(배터리),"4,999만원",4999,5.5㎞/kWh
기아,쏘렌토,승용,가솔린,"3,631만원",3631,12.5㎞/ℓ
기아,쏘렌토,승용,하이브리드,"3,631만원",3631,12.5㎞/ℓ
기아,쏘렌토,승용,디젤,"3,631만원",3631,12.5㎞/ℓ
현대,더 뉴 그랜저,승용,LPG,"4,217만원",4217,13.05㎞/ℓ
현대,더 뉴 그랜저,승용,가솔린,"4,217만원",4217,13.05㎞/ℓ
현대,더 뉴 그랜저,승용,하이브리드,"4,217만원",4217,13.05㎞/ℓ
기아,스포티지,승용,LPG,"2,903만원",2903,12.45㎞/ℓ
기아,스포티지,승용,가솔린,"2,903만원",2903,12.45㎞/ℓ
기아,스포티지,승용,하이브리드,"2,903만원",2903,12.45㎞/ℓ
현대,싼타페,승용,가솔린,"3,657만원",3657,12.45㎞/ℓ
현대,싼타페,승용,하이브리드,"3,657만원",3657,12.45㎞/ℓ
기아,카니발,승용,가솔린,"3,636만원",3636,11.25㎞/ℓ
기아,카니발,승용,하이브리드,"3,636만원",3636,11.25㎞/ℓ
기아,카니발,승용,디젤,"3,636만원",3636,11.25㎞/ℓ
기아,EV5,승용,전기(배터리),"4,155만원",4155,4.65㎞/kWh
기아,셀토스,승용,가솔린,"2,512만원",2512,15.25㎞/ℓ
기아,셀토스,승용,하이브리드,"2,512만원",2512,15.25㎞/ℓ
현대,쏘나타 디 엣지,승용,LPG,"2,560만원",2560,14.4㎞/ℓ
현대,쏘나타 디 엣지,승용,가솔린,"2,560만원",2560,14.4㎞/ℓ
현대,쏘나타 디 엣지,승용,하이브리드,"2,560만원",2560,14.4㎞/ℓ
기아,EV3,승용,전기(배터리),"3,995만원",3995,4.85㎞/kWh
현대,아이오닉 9,승용,전기(배터리),"6,759만원",6759,4.2㎞/kWh
현대,포터2,화물,LPG,"2,058만원",2058,7.95㎞/ℓ
현대,포터2,화물,디젤,"2,058만원",2058,7.95㎞/ℓ
현대,디 올 뉴 팰리세이드,승용,가솔린,"4,383만원",4383,11.05㎞/ℓ
현대,디 올 뉴 팰리세이드,승용,하이브리드,"4,383만원",4383,11.05㎞/ℓ
기아,K8,승용,LPG,"3,529만원",3529,12.95㎞/ℓ
기아,K8,승용,가솔린,"3,529만원",3529,12.95㎞/ℓ
기아,K8,승용,하이브리드,"3,529만원",3529,12.95㎞/ℓ
기아,PV5,승용,전기(배터리),"4,100만원",4100,4.45㎞/kWh
기아,K5,승용,LPG,"2,507만원",2507,14.65㎞/ℓ
기아,K5,승용,가솔린,"2,507만원",2507,14.65㎞/ℓ
기아,K5,승용,하이브리드,"2,507만원",2507,14.65㎞/ℓ
기아,니로,승용,하이브리드,"2,927만원",2927,20.2㎞/ℓ
기아,봉고 3,화물,LPG,"2,008만원",2008,8.05㎞/ℓ
기아,봉고 3,화물,디젤,"2,008만원",2008,8.05㎞/ℓ
기아,레이,초소형,가솔린,"1,480만원",1480,12.8㎞/ℓ
BMW,5 Series,승용,가솔린,"6,350만원",6350,13.5㎞/ℓ
BMW,5 Series,승용,하이브리드,"6,350만원",6350,13.5㎞/ℓ
BMW,5 Series,승용,디젤,"6,350만원",6350,13.5㎞/ℓ
제네시스,GV80,승용,가솔린,"6,886만원",6886,8.5㎞/ℓ
현대,아이오닉 5,승용,전기(배터리),"4,735만원",4735,4.8㎞/kWh
제네시스,GV70,승용,가솔린,"5,318만원",5318,9.25㎞/ℓ
제네시스,G80,승용,가솔린,"6,063만원",6063,9.4㎞/ℓ
벤츠,E-Class,승용,가솔린,"6,200만원",6200,12.3㎞/ℓ
벤츠,E-Class,승용,하이브리드,"6,200만원",6200,12.3㎞/ℓ
벤츠,E-Class,승용,디젤,"6,200만원",6200,12.3㎞/ℓ
현대,코나,승용,가솔린,"2,393만원",2393,15.5㎞/ℓ
현대,코나,승용,하이브리드,"2,393만원",2393,15.5㎞/ℓ
현대,더 뉴 스타리아,승용,LPG,"3,259만원",3259,9.65㎞/ℓ
현대,더 뉴 스타리아,승용,하이브리드,"3,259만원",3259,9.65㎞/ℓ
현대,투싼,승용,가솔린,"2,844만원",2844,13.7㎞/ℓ
현대,투싼,승용,하이브리드,"2,844만원",2844,13.7㎞/ℓ
현대,투싼,승용,디젤,"2,844만원",2844,13.7㎞/ℓ
르노코리아,그랑 콜레오스,승용,가솔린,"3,546만원",3546,12.75㎞/ℓ
르노코리아,그랑 콜레오스,승용,하이브리드,"3,546만원",3546,12.75㎞/ℓ
기아,모닝,초소형,가솔린,"1,386만원",1386,14.9㎞/ℓ
기아,레이 EV,초소형,전기(배터리),"2,807만원",2807,5.1㎞/kWh
현대,디 올 뉴 아반떼,승용,가솔린,"2,249만원",2249,17.45㎞/ℓ
현대,디 올 뉴 아반떼,승용,하이브리드,"2,249만원",2249,17.45㎞/ℓ
기아,EV4,승용,전기(배터리),"4,042만원",4042,5.15㎞/kWh
기아,EV9,승용,전기(배터리),"6,197만원",6197,3.9㎞/kWh
BMW,X3,승용,가솔린,"6,640만원",6640,12.3㎞/ℓ
BMW,X3,승용,디젤,"6,640만원",6640,12.3㎞/ℓ
BMW,3 Series,승용,가솔린,"5,180만원",5180,12.6㎞/ℓ
BMW,3 Series,승용,디젤,"5,180만원",5180,12.6㎞/ℓ
현대,베뉴,승용,가솔린,"1,660만원",1660,13.5㎞/ℓ
기아,EV6,승용,전기(배터리),"4,360만원",4360,4.65㎞/kWh
현대,캐스퍼,초소형,가솔린,"1,460만원",1460,13.3㎞/ℓ
현대,더 뉴 아이오닉 6,승용,전기(배터리),"4,856만원",4856,5.45㎞/kWh
현대,스타리아 일렉트릭,승용,전기(배터리),"5,792만원",5792,4㎞/kWh
테슬라,Model 3,승용,전기(배터리),"4,699만원",4699,5.25㎞/kWh
BMW,X5,승용,가솔린,"1억 1,020만원",11020,10.35㎞/ℓ
BMW,X5,승용,하이브리드,"1억 1,020만원",11020,10.35㎞/ℓ
BMW,X5,승용,디젤,"1억 1,020만원",11020,10.35㎞/ℓ
아우디,The new A6,승용,가솔린,"5,890만원",5890,12.15㎞/ℓ
아우디,The new A6,승용,디젤,"5,890만원",5890,12.15㎞/ℓ
쉐보레,트랙스 크로스오버,승용,가솔린,"2,199만원",2199,12.35㎞/ℓ
KGM,무쏘,화물,가솔린,"2,990만원",2990,8.9㎞/ℓ
KGM,무쏘,화물,디젤,"2,990만원",2990,8.9㎞/ℓ
벤츠,GLC-Class,승용,가솔린,"7,645만원",7645,11.4㎞/ℓ
벤츠,GLC-Class,승용,디젤,"7,645만원",7645,11.4㎞/ℓ
KGM,티볼리,승용,LPG+가솔린,"2,057만원",2057,10.7㎞/ℓ
KGM,티볼리,승용,가솔린,"2,057만원",2057,10.7㎞/ℓ
르노코리아,필랑트,승용,하이브리드,"4,395만원",4395,15.1㎞/ℓ
기아,타스만,화물,가솔린,"3,399만원",3399,7.8㎞/ℓ
토요타,All New RAV4,승용,하이브리드,"4,990만원",4990,17.15㎞/ℓ
르노코리아,아르카나,승용,가솔린,"2,677만원",2677,15.1㎞/ℓ
르노코리아,아르카나,승용,하이브리드,"2,677만원",2677,15.1㎞/ℓ
아우디,The new Q5,승용,가솔린,"5,273만원",5273,11.05㎞/ℓ
아우디,The new Q5,승용,디젤,"5,273만원",5273,11.05㎞/ℓ
제네시스,G70,승용,가솔린,"4,500만원",4500,11.65㎞/ℓ
제네시스,G70,승용,디젤,"4,500만원",4500,11.65㎞/ℓ
벤츠,GLE-Class,승용,가솔린,1억 620만원,10620,9.6㎞/ℓ
벤츠,GLE-Class,승용,하이브리드,1억 620만원,10620,9.6㎞/ℓ
벤츠,GLE-Class,승용,디젤,1억 620만원,10620,9.6㎞/ℓ
렉서스,NX,승용,하이브리드,"6,783만원",6783,14.2㎞/ℓ
BMW,iX3,승용,전기(배터리),"7,990만원",7990,4.8㎞/kWh
벤츠,The New S-Class,승용,가솔린,"1억 5,400만원",15400,10.4㎞/ℓ
벤츠,The New S-Class,승용,디젤,"1억 5,400만원",15400,10.4㎞/ℓ
KGM,뉴 토레스,승용,LPG+가솔린,"2,765만원",2765,12.3㎞/ℓ
KGM,뉴 토레스,승용,가솔린,"2,765만원",2765,12.3㎞/ℓ
KGM,뉴 토레스,승용,하이브리드,"2,765만원",2765,12.3㎞/ℓ
BMW,7 Series,승용,가솔린,"1억 4,220만원",14220,12.65㎞/ℓ
BMW,7 Series,승용,하이브리드,"1억 4,220만원",14220,12.65㎞/ℓ
BMW,7 Series,승용,디젤,"1억 4,220만원",14220,12.65㎞/ℓ
KGM,액티언,승용,LPG+가솔린,"3,567만원",3567,11.9㎞/ℓ
KGM,액티언,승용,가솔린,"3,567만원",3567,11.9㎞/ℓ
KGM,액티언,승용,하이브리드,"3,567만원",3567,11.9㎞/ℓ
제네시스,G90,승용,가솔린,"9,748만원",9748,8.65㎞/ℓ
현대,캐스퍼 일렉트릭,승용,전기(배터리),"2,787만원",2787,5.45㎞/kWh
현대,포터2 일렉트릭,화물,전기(배터리),"4,350만원",4350,2.9㎞/kWh
볼보,EX30,승용,전기(배터리),"3,991만원",3991,4.8㎞/kWh
볼보,XC60,승용,가솔린,"6,570만원",6570,11.2㎞/ℓ
볼보,XC60,승용,하이브리드,"6,570만원",6570,11.2㎞/ℓ
폭스바겐,Golf,승용,가솔린,"4,084만원",4084,14.05㎞/ℓ
폭스바겐,Golf,승용,디젤,"4,084만원",4084,14.05㎞/ℓ
현대,코나 일렉트릭,승용,전기(배터리),"4,152만원",4152,5.1㎞/kWh
볼보,ES90,승용,전기(배터리),"7,294만원",7294,4.45㎞/kWh
BMW,X7,승용,가솔린,"1억 4,487만원",14487,8.45㎞/ℓ
BMW,X7,승용,디젤,"1억 4,487만원",14487,8.45㎞/ℓ
미니,Cooper,승용,가솔린,"3,340만원",3340,12.35㎞/ℓ
벤츠,CLE,승용,가솔린,"7,287만원",7287,10.6㎞/ℓ
